name,r,a,s
bflh_l-P2,-106.60978138480195,-49.637837329289646,274.36458579890177
bflh_l-P3,-113.29240946821545,-44.79550146968582,265.1618517370526
bfsh_l-P2,-114.71886782308795,-46.02241282534354,268.3820632321292
edl_l-P1,-105.06370187854455,-33.88778253187797,198.78082687004314
edl_l-P2,-107.37752773302226,6.792175525328363,-51.606982077481014
ehl_l-P1,-103.23224489516099,-32.22972697089135,160.04293830665702
ehl_l-P2,-106.02892168574128,-9.745655320617919,29.296866932056467
ehl_l-P3,-90.11956945913998,9.062111169362097,-45.57552294811774
fdl_l-P1,-78.5653160844728,-22.27054254694625,132.19646182169325
fdl_l-P2,-79.41427752476709,-26.469574007323043,-42.09658601077303
fhl_l-P1,-106.39362608151492,-47.27218318771365,99.75670001339002
fhl_l-P2,-85.52261366500007,-32.189866559387205,-44.57103615916907
grac_l-P2,-42.48990864034692,-38.1666109254118,262.80750684898214
grac_l-P3,-59.881918830130715,-18.61252530971383,244.11649246193556
perbrev_l-P1,-114.45623144131851,-39.920537858807165,64.66917855171532
perbrev_l-P2,-126.11361331662545,-38.24108758329903,-64.87662039292947
perbrev_l-P3,-127.5873697777118,-32.318411007735186,-75.22871503131098
perlong_l-P1,-114.34218898130149,-37.33017907588993,177.4498267817556
perlong_l-P2,-124.69594627006731,-36.17482421212417,-65.51974771233765
perlong_l-P3,-125.86456610085145,-31.07701923323583,-76.18517849779258
recfem_l-P5,-76.72575177714185,11.18973698929413,251.86454059543775
sart_l-P3,-33.99904173143327,-44.76877807218455,268.9525656335225
sart_l-P4,-46.98953786820141,-35.66684232376135,251.77078670334313
sart_l-P5,-75.99745658413728,-6.958035802457894,233.9591649096055
semimem_l-P2,-54.25008468981754,-47.470833395077705,267.73523086870296
semiten_l-P2,-50.995531827679805,-49.71892463772155,259.22677043313814
semiten_l-P3,-65.19046940622766,-18.354719566358018,236.8639996632986
soleus_l-P1,-91.82954560130574,-26.384674884600905,222.76079401885897
tfl_l-P4,-116.67795804723734,-7.6029021332343385,271.45766827114625
tibant_l-P1,-99.29345985332688,-4.9155030542343665,184.47147855088426
tibant_l-P2,-95.31825326654241,3.8218797670596327,126.05340114981891
tibant_l-P3,-78.6945515483094,11.460394854880487,-42.502509551281996
tibpost_l-P1,-92.82318729586495,-23.35374828090063,184.5548326334032
tibpost_l-P2,-73.42233338278656,-25.42957157581428,-43.15614900353559
vasint_l-P5,-77.80153109917106,11.204074605816347,251.801078701452
vaslat_l-P5,-83.3634695250474,11.391151198200191,251.6719055591873
vasmed_l-P5,-69.27657162178541,10.216110055771578,251.29442344002487
